Strategy,Globale Utility
S1, 0.0156645370248881
S2, 0.0458204686519748
S3, 0.0224906244229363
S4, 0.00870177454510739
S5, 0.0544923647560962
S6, 0.0230857981291257
S7, 0.0125774045487343
GT, 0.00241424405997387
