Strategie,Moyenne Temps 
S1, 0.00142688535201008
S2, 0.0632576535448933
S3, 0.0512494784097262
S4, 0.0634854234643558
S5, 0.126458676242588
S6, 0.0950529758449344
S7, 0.0950932570912637
GT, 0.00968448564185885
