Strategie,Moyenne Energie 
S1, 0.101959059012251
S2, 0.00744132745840531
S3, 0.107983278672797
S4, 0.00743958339728224
S5, 0.0149681139118407
S6, 0.00743958339728224
S7, 0.00743958339728224
GT, 0.00961862166949105
