Taille Données (Ko),U1,U2,U3,U4,U5,U6,U7,GT 
10, 0.0229746543031692, 0.0292775556136644, 0.0233910172504013, 0.000768562787109241, 0.0300022966873275, 0.0154345434005014, 0.00109399736756646, 0.000546138829719597, 
20, 0.0229746543031692, 0.0315807417518769, 0.0239737236412862, 0.00149694577571541, 0.0330338658141462, 0.0165534478856562, 0.00214781493662986, 0.000948142136749152, 
40, 0.0229746543031692, 0.0361871140283018, 0.0251391364230561, 0.00295371175292775, 0.0390970040677835, 0.0187912568559659, 0.00425545007475665, 0.00164783390136859, 
80, 0.0229746543031692, 0.0453998585811517, 0.0274699619865958, 0.00586724370735243, 0.051223280575058, 0.0232668747965853, 0.00847072035101022, 0.00283884786850978, 
160, 0.0229746543031692, 0.0638253476868514, 0.0321316131136753, 0.0116943076162018, 0.0754758335896071, 0.032218110677824, 0.0169012609035174, 0.00480439681537842, 
320, 0.0229746543031692, 0.100676325898251, 0.0414549153678343, 0.0233484354339005, 0.123980939618705, 0.0501205824403014, 0.0337623420085317, 0.00790279687106985, 
640, 0.0229746543031692, 0.17437828232105, 0.0601015198761522, 0.0466566910692979, 0.220991151676902, 0.0859255259652562, 0.0674845042185603, 0.0124344614431427, 
1280, 0.0229746543031692, 0.321782195166648, 0.0973947288927881, 0.0932732023400928, 0.415011575793295, 0.157535413015166, 0.134928828638617, 0.0181677796454499, 
