Taille Données (Ko),T1,T2,T3,T4,T5,T6,T7,GT 
1, 0.00190251380268011, 0.00396119668692348, 0.00402676478128746, 0.00426488991287345, 0.00784688557758273, 0.00616378906717776, 0.00621749739561679, 0.00260545249646771, 
2, 0.00190251380268011, 0.00786641165241017, 0.00715093675367681, 0.00817010487836013, 0.0156573155085561, 0.0120216115154078, 0.0120753198438468, 0.00428646157649232, 
4, 0.00190251380268011, 0.0156768415833835, 0.0133992806984555, 0.0159805348093335, 0.0312781753705029, 0.0237372564118679, 0.0237909647403069, 0.00708919716469864, 
8, 0.00190251380268011, 0.0312977014453303, 0.0258959685880129, 0.0316013946712803, 0.0625198950943963, 0.047168546204788, 0.047222254533227, 0.011577497917056, 
16, 0.00190251380268011, 0.0625394211692238, 0.0508893443671277, 0.0628431143951737, 0.125003334542183, 0.0940311257906282, 0.0940848341190672, 0.0183211532932906, 
32, 0.00190251380268011, 0.125022860617011, 0.100876095925357, 0.125326553842961, 0.249970213437757, 0.187756284962309, 0.187809993290748, 0.0273439665084301, 
64, 0.00190251380268011, 0.249989739512585, 0.200849599041816, 0.250293432738535, 0.499903971228905, 0.37520660330567, 0.375260311634109, 0.0364619925836806, 
128, 0.00190251380268011, 0.499923497303733, 0.400796605274735, 0.500227190529683, 0.999771486811201, 0.750107239992391, 0.750160948320831, 0.0368442387437548, 
