Taille Données (Ko),E1,E2,E3,E4,E5,E6,E7,GT 
10, 0.135945412016335, 0.000348812224612749, 0.13631933872112, 0.000346486809781997, 0.000811569775932329, 0.000346486809781997, 0.000346486809781997, 0.000671380481849871, 
20, 0.135945412016335, 0.00081389519076308, 0.13669140509404, 0.000811569775932329, 0.00174173570823299, 0.000811569775932329, 0.000811569775932329, 0.00140239124400259, 
40, 0.135945412016335, 0.00174406112306374, 0.137435537839881, 0.00174173570823299, 0.00360206757283432, 0.00174173570823299, 0.00174173570823299, 0.00279780624351292, 
80, 0.135945412016335, 0.00360439298766507, 0.138923803331562, 0.00360206757283432, 0.00732273130203697, 0.00360206757283432, 0.00360206757283432, 0.00545558929400273, 
160, 0.135945412016335, 0.00732505671686772, 0.141900334314924, 0.00732273130203697, 0.0147640587604423, 0.00732273130203697, 0.00732273130203697, 0.01050522759898, 
320, 0.135945412016335, 0.014766384175273, 0.147853396281648, 0.0147640587604423, 0.0296467136772529, 0.0147640587604423, 0.0147640587604423, 0.020072814717989, 
640, 0.135945412016335, 0.0296490390920836, 0.159759520215097, 0.0296467136772529, 0.0594120235108741, 0.0296467136772529, 0.0296467136772529, 0.0381447760751755, 
1280, 0.135945412016335, 0.0594143489257049, 0.183571768081994, 0.0594120235108741, 0.118942643178117, 0.0594120235108741, 0.0594120235108741, 0.0721624391289448, 
